,City,Country,Lat,Lon,Temp_F,Humidity(%),Cloudiness(%),Wind Speed (mph)
99,cape town,za,-70.46700554283137,-3.2996736692607556,66.2,63.0,0.0,12.75
100,mahebourg,mu,-41.68824753956383,75.24881102512708,80.6,78.0,40.0,6.93
101,east london,za,-77.15995718547633,52.475276204233296,62.6,93.0,40.0,4.7
103,pulo,ph,14.923306797587173,121.13985954013066,78.8,78.0,75.0,4.7
105,fukue,jp,33.62386851832251,125.08403818819676,46.4,75.0,20.0,27.51
106,chumikan,ru,54.60420928274547,137.180842770205,5.57,50.0,0.0,1.72
107,ocos,gt,10.013456218637117,-95.46949978318985,95.0,36.0,20.0,11.41
109,tamiahua,mx,21.291201545915968,-96.58326914174393,75.68,95.0,88.0,7.99
110,cabo san lucas,mx,7.218535678196247,-120.57787834436161,82.49,39.0,20.0,12.75
112,sembe,cg,1.1069171570933207,14.783599289230011,79.19,79.0,56.0,2.39
113,nikolskoye,ru,42.94398547428793,174.67077699934174,32.0,95.0,75.0,8.95
115,bambous virieux,mu,-32.05504050905568,71.28445194604487,80.6,78.0,40.0,6.93
116,kapit,my,1.0653187733348517,112.91335380528085,72.17,96.0,76.0,2.28
118,oceanside,us,33.00020488225712,-117.76724282478665,64.42,88.0,75.0,5.82
119,inirida,co,4.488434716068781,-68.60803302278825,73.7,99.0,92.0,1.95
120,souillac,mu,-24.27904911920713,59.58711851980601,80.6,78.0,40.0,6.93
122,hithadhoo,mv,-7.336243779018673,79.464785039996,83.33,100.0,64.0,10.78
123,cossato,it,45.619840018866284,8.246210727735217,36.07,56.0,0.0,3.36
124,moissala,td,7.78100248666469,17.78615322696072,76.4,80.0,56.0,10.67
126,gorin,ru,51.67907088847318,137.88113086188963,7.01,69.0,8.0,3.62
127,dikson,ru,83.36796821483065,83.20528026109002,-10.55,90.0,20.0,28.9
128,tiksi,ru,88.03941882884436,130.90353520542527,-4.25,65.0,76.0,2.84
130,solnechnyy,ru,60.40885589328127,137.1895846466076,7.01,69.0,8.0,3.62
131,longyearbyen,sj,83.39387587120572,25.61260248114229,12.2,61.0,40.0,20.8
132,winnemucca,us,40.97921230990519,-118.37382323544776,51.8,76.0,90.0,19.46
133,itarema,br,1.6488887965671921,-37.083904893378644,81.08,97.0,44.0,9.66
134,palmer,us,60.74507470118405,-147.221673879494,24.8,45.0,1.0,8.05
135,gunjur,gm,13.117126554451417,-16.805360410703628,78.8,47.0,24.0,8.05
136,poum,nc,-17.711756849579714,161.7099807302348,80.36,100.0,24.0,12.35
138,ahipara,nz,-36.87623099414874,171.14592615101498,62.45,100.0,76.0,4.97
139,sydney,au,-35.45660081170234,154.08294641602168,65.8,60.0,75.0,14.99
140,port augusta,au,-30.910368539000856,138.4421800468836,60.8,77.0,0.0,3.36
142,morondava,mg,-18.59812157512053,42.405438710329065,82.97,82.0,8.0,7.65
143,tasiilaq,gl,63.5592256926401,-35.79136261938831,28.4,86.0,75.0,4.7
153,chuy,uy,-55.2363074771904,-28.19670514618511,73.43,83.0,0.0,4.97
154,bocas del toro,pa,10.488972948277706,-81.72481041439397,82.52,95.0,0.0,11.68
156,bandarbeyla,so,8.153703939839758,53.874103760404296,78.47,100.0,0.0,6.42
157,gumla,in,22.898586880120646,84.6150316863463,63.26,84.0,0.0,3.29
158,mineral wells,us,32.662198176833925,-98.17106333398391,76.98,34.0,1.0,24.16
159,nauta,pe,-4.010600351061768,-74.34566661556775,85.4,79.0,64.0,3.74
160,saint-philippe,re,-48.08622574993012,63.014351086804766,77.85,78.0,0.0,9.17
164,amalapuram,in,13.638646384784295,84.1961872403595,80.9,83.0,64.0,7.65
